Oil Grade,"Temperature
Deg C","Viscosity
(Ns/m2)","Heat capacity
(kJ/kg*0c)","Conductivity
(W/m2*0c)","Density
(kg/m2)"
SAE 30,116,0.006468,2.206,0.1234,831.2
SAE 30,117,0.006337,2.209,0.1234,830.6
SAE 30,118,0.006211,2.213,0.1233,830.1
SAE 30,119,0.006088,2.216,0.1232,829.5
SAE 30,120,0.005968,2.22,0.1232,829
SAE 30,121,0.005852,2.224,0.1231,828.5
SAE 30,122,0.00574,2.227,0.123,827.9
SAE 30,123,0.00563,2.231,0.1229,827.4
SAE 30,124,0.005524,2.234,0.1229,826.8
SAE 30,125,0.005421,2.238,0.1228,826.3
SAE 30,126,0.00532,2.241,0.1227,825.8
SAE 30,127,0.005222,2.245,0.1227,825.2
SAE 30,128,0.005127,2.249,0.1226,824.7
SAE 30,129,0.005035,2.252,0.1225,824.2
SAE 30,130,0.004945,2.256,0.1224,823.6
SAE 30,131,0.004858,2.259,0.1224,823.1
SAE 30,132,0.004773,2.263,0.1223,822.6
SAE 30,133,0.00469,2.267,0.1222,822
SAE 30,134,0.004609,2.27,0.1222,821.5
SAE 30,135,0.004531,2.274,0.1221,821
SAE 30,136,0.004454,2.277,0.122,820.4
SAE 30,137,0.004379,2.281,0.1219,819.9
SAE 30,138,0.004307,2.285,0.1219,819.4
SAE 30,139,0.004236,2.288,0.1218,818.9
SAE 30,140,0.004167,2.292,0.1217,818.3
SAE 30,141,0.0041,2.295,0.1217,817.8
SAE 30,142,0.004034,2.299,0.1216,817.3
SAE 30,143,0.00397,2.303,0.1215,816.8
SAE 30,144,0.003907,2.306,0.1214,816.2
SAE 30,145,0.003846,2.31,0.1214,815.7
SAE 30,146,0.003787,2.313,0.1213,815.2
SAE 30,147,0.003729,2.317,0.1212,814.7
SAE 30,148,0.003672,2.321,0.1212,814.2
SAE 30,149,0.003617,2.324,0.1211,813.6
SAE 30,150,0.003563,2.328,0.121,813.1
SAE 40,-10,8.293,1.748,0.1317,910.9
SAE 40,-9,7.336,1.751,0.1316,910.3
SAE 40,-8,6.504,1.755,0.1315,909.7
SAE 40,-7,5.778,1.758,0.1314,909
SAE 40,-6,5.143,1.762,0.1314,908.4
SAE 40,-5,4.587,1.766,0.1313,907.7
SAE 40,-4,4.099,1.769,0.1312,907.1
SAE 40,-3,3.67,1.773,0.1312,906.4
SAE 40,-2,3.293,1.776,0.1311,905.8
SAE 40,-1,2.959,1.78,0.131,905.2
SAE 40,0,2.664,1.784,0.1309,904.5
SAE 40,1,2.403,1.787,0.1309,903.9
SAE 40,2,2.171,1.791,0.1308,903.3
SAE 40,3,1.964,1.794,0.1307,902.6
SAE 40,4,1.78,1.798,0.1307,902
SAE 40,5,1.616,1.801,0.1306,901.4
SAE 40,6,1.47,1.805,0.1305,900.7
SAE 40,7,1.339,1.809,0.1305,900.1
SAE 40,8,1.221,1.812,0.1304,899.5
SAE 40,9,1.115,1.816,0.1303,898.8
SAE 40,10,1.02,1.819,0.1302,898.2
SAE 40,11,0.9349,1.823,0.1302,897.6
SAE 40,12,0.8577,1.827,0.1301,896.9
SAE 40,13,0.788,1.83,0.13,896.3
SAE 40,14,0.7249,1.834,0.13,895.7
SAE 40,15,0.6677,1.837,0.1299,895.1
SAE 40,16,0.6159,1.841,0.1298,894.4
SAE 40,17,0.5688,1.844,0.1297,893.8
SAE 40,18,0.5259,1.848,0.1297,893.2
SAE 40,19,0.4869,1.852,0.1296,892.6
SAE 40,20,0.4513,1.855,0.1295,891.9
SAE 40,21,0.4188,1.859,0.1295,891.3
SAE 40,22,0.3891,1.862,0.1294,890.7
SAE 40,23,0.3619,1.866,0.1293,890.1
SAE 40,24,0.337,1.87,0.1293,889.5
SAE 40,25,0.3141,1.873,0.1292,888.8
SAE 40,26,0.2931,1.877,0.1291,888.2
SAE 40,27,0.2738,1.88,0.129,887.6
SAE 40,28,0.256,1.884,0.129,887
SAE 40,29,0.2397,1.887,0.1289,886.4
SAE 40,30,0.2245,1.891,0.1288,885.8
SAE 40,31,0.2106,1.895,0.1288,885.1
SAE 40,32,0.1977,1.898,0.1287,884.5
SAE 40,33,0.1858,1.902,0.1286,883.9
SAE 40,34,0.1747,1.905,0.1285,883.3
SAE 40,35,0.1645,1.909,0.1285,882.7
SAE 40,36,0.1549,1.913,0.1284,882.1
SAE 40,37,0.1461,1.916,0.1283,881.5
SAE 40,38,0.1379,1.92,0.1283,880.9
SAE 40,39,0.1303,1.923,0.1282,880.3
SAE 40,40,0.1231,1.927,0.1281,879.7
SAE 40,41,0.1165,1.931,0.1281,879.1
SAE 40,42,0.1103,1.934,0.128,878.5
SAE 40,43,0.1045,1.938,0.1279,877.8
SAE 40,44,0.09912,1.941,0.1278,877.2
SAE 40,45,0.09407,1.945,0.1278,876.6
SAE 40,46,0.08933,1.948,0.1277,876
SAE 40,47,0.0849,1.952,0.1276,875.4
SAE 40,48,0.08075,1.956,0.1276,874.8
SAE 40,49,0.07685,1.959,0.1275,874.2
SAE 40,50,0.07319,1.963,0.1274,873.6
SAE 40,51,0.06975,1.966,0.1273,873
SAE 40,52,0.06651,1.97,0.1273,872.4
SAE 40,53,0.06347,1.974,0.1272,871.8
SAE 40,54,0.06061,1.977,0.1271,871.3
SAE 40,55,0.05791,1.981,0.1271,870.7
SAE 40,56,0.05536,1.984,0.127,870.1
SAE 40,57,0.05296,1.988,0.1269,869.5
SAE 40,58,0.05069,1.991,0.1268,868.9
SAE 40,59,0.04855,1.995,0.1268,868.3
SAE 40,60,0.04652,1.999,0.1267,867.7
SAE 40,61,0.0446,2.002,0.1266,867.1
SAE 40,62,0.04279,2.006,0.1266,866.5
SAE 40,63,0.04107,2.009,0.1265,865.9
SAE 40,64,0.03944,2.013,0.1264,865.3
SAE 40,65,0.0379,2.017,0.1264,864.8
SAE 40,66,0.03643,2.02,0.1263,864.2
SAE 40,67,0.03504,2.024,0.1262,863.6
SAE 40,68,0.03372,2.027,0.1261,863
SAE 40,69,0.03247,2.031,0.1261,862.4
SAE 40,70,0.03127,2.034,0.126,861.8
SAE 40,71,0.03014,2.038,0.1259,861.2
SAE 40,72,0.02906,2.042,0.1259,860.7
SAE 40,73,0.02803,2.045,0.1258,860.1
SAE 40,74,0.02705,2.049,0.1257,859.5
SAE 40,75,0.02611,2.052,0.1256,858.9
SAE 40,76,0.02522,2.056,0.1256,858.3
SAE 40,77,0.02437,2.06,0.1255,857.8
SAE 40,78,0.02355,2.063,0.1254,857.2
SAE 40,79,0.02278,2.067,0.1254,856.6
SAE 40,80,0.02204,2.07,0.1253,856
SAE 40,81,0.02133,2.074,0.1252,855.5
SAE 40,82,0.02065,2.077,0.1252,854.9
SAE 40,83,0.02,2.081,0.1251,854.3
SAE 40,84,0.01938,2.085,0.125,853.7
SAE 40,85,0.01878,2.088,0.1249,853.2
SAE 40,86,0.01821,2.092,0.1249,852.6
SAE 40,87,0.01767,2.095,0.1248,852
SAE 40,88,0.01714,2.099,0.1247,851.5
SAE 40,89,0.01664,2.103,0.1247,850.9
SAE 40,90,0.01616,2.106,0.1246,850.3
SAE 40,91,0.01569,2.11,0.1245,849.8
SAE 40,92,0.01525,2.113,0.1244,849.2
SAE 40,93,0.01482,2.117,0.1244,848.6
SAE 40,94,0.01441,2.121,0.1243,848.1
SAE 40,95,0.01401,2.124,0.1242,847.5
SAE 40,96,0.01363,2.128,0.1242,846.9
SAE 40,97,0.01327,2.131,0.1241,846.4
SAE 40,98,0.01292,2.135,0.124,845.8
SAE 40,99,0.01258,2.138,0.1239,845.3
SAE 40,100,0.01225,2.142,0.1239,844.7
SAE 40,101,0.01194,2.146,0.1238,844.1
SAE 40,102,0.01163,2.149,0.1237,843.6
SAE 40,103,0.01134,2.153,0.1237,843
SAE 40,104,0.01106,2.156,0.1236,842.5
SAE 40,105,0.01079,2.16,0.1235,841.9
SAE 40,106,0.01052,2.164,0.1235,841.4
SAE 40,107,0.01027,2.167,0.1234,840.8
SAE 40,108,0.01003,2.171,0.1233,840.2
SAE 40,109,0.009789,2.174,0.1232,839.7
SAE 40,110,0.00956,2.178,0.1232,839.1
SAE 40,111,0.009339,2.181,0.1231,838.6
SAE 40,112,0.009125,2.185,0.123,838
SAE 40,113,0.008918,2.189,0.123,837.5
SAE 40,114,0.008718,2.192,0.1229,836.9
SAE 40,115,0.008525,2.196,0.1228,836.4
SAE 40,116,0.008337,2.199,0.1227,835.8
SAE 40,117,0.008156,2.203,0.1227,835.3
SAE 40,118,0.00798,2.207,0.1226,834.7
SAE 40,119,0.00781,2.21,0.1225,834.2
SAE 40,120,0.007645,2.214,0.1225,833.7
SAE 40,121,0.007485,2.217,0.1224,833.1
SAE 40,122,0.00733,2.221,0.1223,832.6
SAE 40,123,0.00718,2.224,0.1223,832
SAE 40,124,0.007034,2.228,0.1222,831.5
SAE 40,125,0.006893,2.232,0.1221,831
SAE 40,126,0.006755,2.235,0.122,830.4
SAE 40,127,0.006622,2.239,0.122,829.9
SAE 40,128,0.006493,2.242,0.1219,829.3
SAE 40,129,0.006367,2.246,0.1218,828.8
SAE 40,130,0.006245,2.25,0.1218,828.3
SAE 40,131,0.006126,2.253,0.1217,827.7
SAE 40,132,0.006011,2.257,0.1216,827.2
SAE 40,133,0.005899,2.26,0.1215,826.7
SAE 40,134,0.00579,2.264,0.1215,826.1
SAE 40,135,0.005684,2.267,0.1214,825.6
SAE 40,136,0.00558,2.271,0.1213,825.1
SAE 40,137,0.00548,2.275,0.1213,824.5
SAE 40,138,0.005383,2.278,0.1212,824
SAE 40,139,0.005287,2.282,0.1211,823.5
SAE 40,140,0.005195,2.285,0.121,822.9
SAE 40,141,0.005105,2.289,0.121,822.4
SAE 40,142,0.005017,2.293,0.1209,821.9
SAE 40,143,0.004932,2.296,0.1208,821.4
SAE 40,144,0.004848,2.3,0.1208,820.8
SAE 40,145,0.004767,2.303,0.1207,820.3
SAE 40,146,0.004688,2.307,0.1206,819.8
SAE 40,147,0.004611,2.31,0.1206,819.3
SAE 40,148,0.004536,2.314,0.1205,818.7
SAE 40,149,0.004463,2.318,0.1204,818.2
SAE 40,150,0.004391,2.321,0.1203,817.7
SAE 50,-10,15.76,1.748,0.1317,910.9
SAE 50,-9,13.86,1.751,0.1316,910.3
SAE 50,-8,12.22,1.755,0.1315,909.7
SAE 50,-7,10.79,1.758,0.1314,909
SAE 50,-6,9.549,1.762,0.1314,908.4
SAE 50,-5,8.469,1.766,0.1313,907.7
SAE 50,-4,7.526,1.769,0.1312,907.1
SAE 50,-3,6.702,1.773,0.1312,906.4
SAE 50,-2,5.979,1.776,0.1311,905.8
SAE 50,-1,5.344,1.78,0.131,905.2
SAE 50,0,4.786,1.784,0.1309,904.5
SAE 50,1,4.293,1.787,0.1309,903.9
SAE 50,2,3.858,1.791,0.1308,903.3
SAE 50,3,3.474,1.794,0.1307,902.6
SAE 50,4,3.133,1.798,0.1307,902
SAE 50,5,2.83,1.801,0.1306,901.4
SAE 50,6,2.56,1.805,0.1305,900.7
SAE 50,7,2.32,1.809,0.1305,900.1
SAE 50,8,2.106,1.812,0.1304,899.5
SAE 50,9,1.915,1.816,0.1303,898.8
SAE 50,10,1.743,1.819,0.1302,898.2
SAE 50,11,1.59,1.823,0.1302,897.6
SAE 50,12,1.452,1.827,0.1301,896.9
SAE 50,13,1.327,1.83,0.13,896.3
SAE 50,14,1.216,1.834,0.13,895.7
SAE 50,15,1.115,1.837,0.1299,895.1
SAE 50,16,1.023,1.841,0.1298,894.4
SAE 50,17,0.941,1.844,0.1297,893.8
SAE 50,18,0.8664,1.848,0.1297,893.2
SAE 50,19,0.7986,1.852,0.1296,892.6
SAE 50,20,0.7371,1.855,0.1295,891.9
SAE 50,21,0.6811,1.859,0.1295,891.3
SAE 50,22,0.6302,1.862,0.1294,890.7
SAE 50,23,0.5837,1.866,0.1293,890.1
SAE 50,24,0.5413,1.87,0.1293,889.5
SAE 50,25,0.5026,1.873,0.1292,888.8
SAE 50,26,0.4671,1.877,0.1291,888.2
SAE 50,27,0.4346,1.88,0.129,887.6
SAE 50,28,0.4048,1.884,0.129,887
SAE 50,29,0.3775,1.887,0.1289,886.4
SAE 50,30,0.3523,1.891,0.1288,885.8
SAE 50,31,0.3292,1.895,0.1288,885.1
SAE 50,32,0.3079,1.898,0.1287,884.5
SAE 50,33,0.2883,1.902,0.1286,883.9
SAE 50,34,0.2701,1.905,0.1285,883.3
SAE 50,35,0.2534,1.909,0.1285,882.7
SAE 50,36,0.2379,1.913,0.1284,882.1
SAE 50,37,0.2235,1.916,0.1283,881.5
SAE 50,38,0.2102,1.92,0.1283,880.9
SAE 50,39,0.1979,1.923,0.1282,880.3
SAE 50,40,0.1864,1.927,0.1281,879.7
SAE 50,41,0.1758,1.931,0.1281,879.1
SAE 50,42,0.1659,1.934,0.128,878.5
SAE 50,43,0.1567,1.938,0.1279,877.8
SAE 50,44,0.1481,1.941,0.1278,877.2
SAE 50,45,0.1401,1.945,0.1278,876.6
SAE 50,46,0.1327,1.948,0.1277,876
SAE 50,47,0.1257,1.952,0.1276,875.4
SAE 50,48,0.1192,1.956,0.1276,874.8
SAE 50,49,0.1131,1.959,0.1275,874.2
SAE 50,50,0.1074,1.963,0.1274,873.6
SAE 50,51,0.102,1.966,0.1273,873
SAE 50,52,0.09699,1.97,0.1273,872.4
SAE 50,53,0.09228,1.974,0.1272,871.8
SAE 50,54,0.08786,1.977,0.1271,871.3
SAE 50,55,0.08371,1.981,0.1271,870.7
SAE 50,56,0.0798,1.984,0.127,870.1
SAE 50,57,0.07613,1.988,0.1269,869.5
SAE 50,58,0.07267,1.991,0.1268,868.9
SAE 50,59,0.06941,1.995,0.1268,868.3
SAE 50,60,0.06634,1.999,0.1267,867.7
SAE 50,61,0.06343,2.002,0.1266,867.1
SAE 50,62,0.0607,2.006,0.1266,866.5
SAE 50,63,0.05811,2.009,0.1265,865.9
SAE 50,64,0.05566,2.013,0.1264,865.3
SAE 50,65,0.05335,2.017,0.1264,864.8
SAE 50,66,0.05116,2.02,0.1263,864.2
SAE 50,67,0.04909,2.024,0.1262,863.6
SAE 50,68,0.04712,2.027,0.1261,863
SAE 50,69,0.04526,2.031,0.1261,862.4
SAE 50,70,0.04349,2.034,0.126,861.8
SAE 50,71,0.04181,2.038,0.1259,861.2
SAE 50,72,0.04022,2.042,0.1259,860.7
SAE 50,73,0.03871,2.045,0.1258,860.1
SAE 50,74,0.03727,2.049,0.1257,859.5
SAE 50,75,0.0359,2.052,0.1256,858.9
SAE 50,76,0.0346,2.056,0.1256,858.3
SAE 50,77,0.03336,2.06,0.1255,857.8
SAE 50,78,0.03217,2.063,0.1254,857.2
SAE 50,79,0.03105,2.067,0.1254,856.6
SAE 50,80,0.02997,2.07,0.1253,856
SAE 50,81,0.02895,2.074,0.1252,855.5
SAE 50,82,0.02797,2.077,0.1252,854.9
SAE 50,83,0.02704,2.081,0.1251,854.3
SAE 50,84,0.02614,2.085,0.125,853.7
SAE 50,85,0.02529,2.088,0.1249,853.2
SAE 50,86,0.02447,2.092,0.1249,852.6
SAE 50,87,0.02369,2.095,0.1248,852
SAE 50,88,0.02295,2.099,0.1247,851.5
SAE 50,89,0.02223,2.103,0.1247,850.9
SAE 50,90,0.02155,2.106,0.1246,850.3
SAE 50,91,0.02089,2.11,0.1245,849.8
SAE 50,92,0.02026,2.113,0.1244,849.2
SAE 50,93,0.01966,2.117,0.1244,848.6
SAE 50,94,0.01908,2.121,0.1243,848.1
SAE 50,95,0.01852,2.124,0.1242,847.5
SAE 50,96,0.01799,2.128,0.1242,846.9
SAE 50,97,0.01748,2.131,0.1241,846.4
SAE 50,98,0.01698,2.135,0.124,845.8
SAE 50,99,0.01651,2.138,0.1239,845.3
SAE 50,100,0.01605,2.142,0.1239,844.7
SAE 50,101,0.01562,2.146,0.1238,844.1
SAE 50,102,0.01519,2.149,0.1237,843.6
SAE 50,103,0.01479,2.153,0.1237,843
SAE 50,104,0.0144,2.156,0.1236,842.5
SAE 50,105,0.01402,2.16,0.1235,841.9
SAE 50,106,0.01366,2.164,0.1235,841.4
SAE 50,107,0.01331,2.167,0.1234,840.8
SAE 50,108,0.01297,2.171,0.1233,840.2
SAE 50,109,0.01265,2.174,0.1232,839.7
SAE 50,110,0.01233,2.178,0.1232,839.1
SAE 50,111,0.01203,2.181,0.1231,838.6
SAE 50,112,0.01174,2.185,0.123,838
SAE 50,113,0.01146,2.189,0.123,837.5
SAE 50,114,0.01118,2.192,0.1229,836.9
SAE 50,115,0.01092,2.196,0.1228,836.4
SAE 50,116,0.01067,2.199,0.1227,835.8
SAE 50,117,0.01042,2.203,0.1227,835.3
SAE 50,118,0.01018,2.207,0.1226,834.7
SAE 50,119,0.00995,2.21,0.1225,834.2
SAE 50,120,0.009727,2.214,0.1225,833.7
SAE 50,121,0.009512,2.217,0.1224,833.1
SAE 50,122,0.009303,2.221,0.1223,832.6
SAE 50,123,0.0091,2.224,0.1223,832
SAE 50,124,0.008904,2.228,0.1222,831.5
SAE 50,125,0.008714,2.232,0.1221,831
SAE 50,126,0.00853,2.235,0.122,830.4
SAE 50,127,0.008351,2.239,0.122,829.9
SAE 50,128,0.008178,2.242,0.1219,829.3
SAE 50,129,0.00801,2.246,0.1218,828.8
SAE 50,130,0.007847,2.25,0.1218,828.3
SAE 50,131,0.007689,2.253,0.1217,827.7
SAE 50,132,0.007536,2.257,0.1216,827.2
SAE 50,133,0.007387,2.26,0.1215,826.7
SAE 50,134,0.007242,2.264,0.1215,826.1
SAE 50,135,0.007101,2.267,0.1214,825.6
SAE 50,136,0.006965,2.271,0.1213,825.1
SAE 50,137,0.006832,2.275,0.1213,824.5
SAE 50,138,0.006703,2.278,0.1212,824
SAE 50,139,0.006578,2.282,0.1211,823.5
SAE 50,140,0.006456,2.285,0.121,822.9
SAE 50,141,0.006337,2.289,0.121,822.4
SAE 50,142,0.006222,2.293,0.1209,821.9
SAE 50,143,0.006109,2.296,0.1208,821.4
SAE 50,144,0.006,2.3,0.1208,820.8
SAE 50,145,0.005894,2.303,0.1207,820.3
SAE 50,146,0.00579,2.307,0.1206,819.8
SAE 50,147,0.005689,2.31,0.1206,819.3
SAE 50,148,0.005591,2.314,0.1205,818.7
SAE 50,149,0.005496,2.318,0.1204,818.2
SAE 50,150,0.005402,2.321,0.1203,817.7
WATER,-10,0.002645,4.278,0.5424,998.2
WATER,-9,0.002535,4.269,0.5442,998.5
WATER,-8,0.00243,4.262,0.546,998.8
WATER,-7,0.002332,4.255,0.5479,999
WATER,-6,0.002239,4.248,0.5497,999.2
WATER,-5,0.002155,4.243,0.5516,999.3
WATER,-4,0.002074,4.237,0.5535,999.5
WATER,-3,0.001996,4.233,0.5553,999.7
WATER,-2,0.001925,4.228,0.5572,999.7
WATER,-1,0.001857,4.223,0.5591,999.9
WATER,0,0.001793,4.22,0.561,999.8
WATER,1,0.001732,4.215,0.5629,999.9
WATER,2,0.001675,4.212,0.5648,100
WATER,3,0.001621,4.21,0.5667,999.9
WATER,4,0.001568,4.206,0.5686,1000
WATER,5,0.00152,4.203,0.5705,999.9
WATER,6,0.001473,4.201,0.5724,999.9
WATER,7,0.001428,4.199,0.5743,999.9
WATER,8,0.001385,4.197,0.5762,999.8
WATER,9,0.001346,4.195,0.5781,999.8
WATER,10,0.001307,4.193,0.58,999.6
WATER,11,0.001271,4.191,0.5819,999.5
WATER,12,0.001235,4.19,0.5837,999.5
WATER,13,0.001202,4.189,0.5856,999.3
WATER,14,0.00117,4.187,0.5875,999.2
WATER,15,0.001138,4.186,0.5893,999
WATER,16,0.001108,4.186,0.5912,998.9
WATER,17,0.00108,4.185,0.593,998.8
WATER,18,0.001054,4.184,0.5948,998.5
WATER,19,0.001028,4.183,0.5966,998.3
WATER,20,0.001002,4.182,0.5984,998.2
WATER,21,9.78E-04,4.182,0.6002,998
WATER,22,9.55E-04,4.182,0.6019,997.7
WATER,23,9.33E-04,4.181,0.6036,997.5
WATER,24,9.12E-04,4.181,0.6054,997.2
WATER,25,8.91E-04,4.18,0.6071,997
WATER,26,8.71E-04,4.179,0.6088,996.8
WATER,27,8.52E-04,4.179,0.6105,996.6
WATER,28,8.34E-04,4.18,0.6121,996.2
WATER,29,8.15E-04,4.179,0.6138,995.9
WATER,30,7.99E-04,4.179,0.6154,995.6
WATER,31,7.81E-04,4.179,0.617,995.4
WATER,32,7.66E-04,4.179,0.6186,995
WATER,33,7.50E-04,4.179,0.6202,994.8
WATER,34,7.34E-04,4.178,0.6218,994.4
WATER,35,7.20E-04,4.179,0.6232,994.1
WATER,36,7.07E-04,4.18,0.6248,993.7
WATER,37,6.92E-04,4.177,0.6263,993.4
WATER,38,6.79E-04,4.18,0.6277,993
WATER,39,6.66E-04,4.178,0.6292,992.6
WATER,40,6.54E-04,4.178,0.6306,992.3
WATER,41,6.41E-04,4.178,0.632,991.9
WATER,42,6.30E-04,4.179,0.6334,991.5
WATER,43,6.18E-04,4.179,0.6347,991.2
WATER,44,6.08E-04,4.18,0.636,990.7
WATER,45,5.97E-04,4.18,0.6373,990.2
WATER,46,5.86E-04,4.179,0.6387,989.9
WATER,47,5.75E-04,4.18,0.6399,989.4
WATER,48,5.66E-04,4.181,0.6411,988.9
WATER,49,5.57E-04,4.18,0.6424,988.6
WATER,50,5.47E-04,4.182,0.6436,988.1
WATER,51,5.38E-04,4.181,0.6447,987.6
WATER,52,5.29E-04,4.181,0.6459,987.2
WATER,53,5.21E-04,4.184,0.647,986.6
WATER,54,5.13E-04,4.183,0.6481,986.2
WATER,55,5.04E-04,4.182,0.6493,985.7
WATER,56,4.97E-04,4.184,0.6503,985.2
WATER,57,4.89E-04,4.186,0.6513,984.7
WATER,58,4.81E-04,4.184,0.6524,984.3
WATER,59,4.75E-04,4.184,0.6534,983.7
WATER,60,4.67E-04,4.186,0.6544,983.2
WATER,61,4.60E-04,4.187,0.6553,982.7
WATER,62,4.53E-04,4.186,0.6563,982.1
WATER,63,4.47E-04,4.188,0.6572,981.6
WATER,64,4.40E-04,4.187,0.6581,981.1
WATER,65,4.34E-04,4.19,0.6589,980.4
WATER,66,4.27E-04,4.188,0.6598,980
WATER,67,4.21E-04,4.189,0.6607,979.5
WATER,68,4.16E-04,4.191,0.6615,978.9
WATER,69,4.10E-04,4.191,0.6623,978.3
WATER,70,4.05E-04,4.192,0.6631,977.7
WATER,71,3.99E-04,4.193,0.6639,977.2
WATER,72,3.93E-04,4.191,0.6646,976.7
WATER,73,3.88E-04,4.193,0.6653,976
WATER,74,3.83E-04,4.193,0.666,975.5
WATER,75,3.78E-04,4.194,0.6668,974.8
WATER,76,3.73E-04,4.195,0.6674,974.3
WATER,77,3.68E-04,4.195,0.6681,973.7
WATER,78,3.64E-04,4.198,0.6687,972.9
WATER,79,3.59E-04,4.2,0.6693,972.4
WATER,80,3.55E-04,4.2,0.67,971.8
WATER,81,3.50E-04,4.199,0.6706,971.2
WATER,82,3.46E-04,4.199,0.6711,970.6
WATER,83,3.42E-04,4.204,0.6717,969.9
WATER,84,3.38E-04,4.2,0.6723,969.5
WATER,85,3.34E-04,4.203,0.6727,968.6
WATER,86,3.30E-04,4.204,0.6733,968
WATER,87,3.26E-04,4.205,0.6738,967.4
WATER,88,3.22E-04,4.206,0.6743,966.7
WATER,89,3.18E-04,4.206,0.6748,966
WATER,90,3.15E-04,4.206,0.6753,965.4
WATER,91,3.12E-04,4.21,0.6756,964.6
WATER,92,3.08E-04,4.211,0.6761,964
WATER,93,3.04E-04,4.209,0.6765,963.3
WATER,94,3.01E-04,4.213,0.6769,962.7
WATER,95,2.98E-04,4.213,0.6773,962
WATER,96,2.95E-04,4.214,0.6776,961.3
WATER,97,2.91E-04,4.215,0.678,960.6
WATER,98,2.88E-04,4.214,0.6784,959.8
WATER,99,2.85E-04,4.217,0.6786,959
WATER,100,2.82E-04,4.216,0.679,958.4
WATER,101,2.79E-04,4.217,0.6793,957.7
WATER,102,2.76E-04,4.218,0.6796,957
WATER,103,2.74E-04,4.219,0.6799,956.3
WATER,104,2.71E-04,4.22,0.6802,955.6
WATER,105,2.69E-04,4.221,0.6805,954.9
WATER,106,2.66E-04,4.223,0.6807,954.2
WATER,107,2.63E-04,4.224,0.681,953.4
WATER,108,2.61E-04,4.225,0.6812,952.7
WATER,109,2.58E-04,4.226,0.6815,952
WATER,110,2.56E-04,4.227,0.6817,951.3
WATER,111,2.54E-04,4.229,0.6819,950.5
WATER,112,2.51E-04,4.23,0.6821,949.8
WATER,113,2.49E-04,4.231,0.6823,949
WATER,114,2.47E-04,4.233,0.6825,948.3
WATER,115,2.44E-04,4.234,0.6827,947.5
WATER,116,2.42E-04,4.236,0.6829,946.8
WATER,117,2.40E-04,4.237,0.683,946
WATER,118,2.38E-04,4.239,0.6832,945.2
WATER,119,2.36E-04,4.24,0.6833,944.5
WATER,120,2.34E-04,4.242,0.6835,943.7
WATER,121,2.32E-04,4.244,0.6836,942.9
WATER,122,2.30E-04,4.245,0.6837,942.1
WATER,123,2.28E-04,4.247,0.6838,941.3
WATER,124,2.26E-04,4.249,0.6839,940.5
WATER,125,2.24E-04,4.251,0.684,939.7
WATER,126,2.22E-04,4.252,0.6841,938.9
WATER,127,2.20E-04,4.254,0.6841,938.1
WATER,128,2.18E-04,4.256,0.6842,937.2
WATER,129,2.16E-04,4.258,0.6842,936.4
WATER,130,2.14E-04,4.26,0.6843,935.6
WATER,131,2.12E-04,4.262,0.6843,934.7
WATER,132,2.11E-04,4.264,0.6843,933.9
WATER,133,2.09E-04,4.266,0.6843,933.1
WATER,134,2.07E-04,4.268,0.6843,932.2
WATER,135,2.06E-04,4.271,0.6843,931.4
WATER,136,2.04E-04,4.273,0.6843,930.5
WATER,137,2.02E-04,4.275,0.6843,929.6
WATER,138,2.01E-04,4.277,0.6843,928.8
WATER,139,1.99E-04,4.279,0.6842,927.9
WATER,140,1.97E-04,4.282,0.6842,927
WATER,141,1.96E-04,4.284,0.6841,926.1
WATER,142,1.94E-04,4.287,0.684,925.2
WATER,143,1.93E-04,4.289,0.6839,924.3
WATER,144,1.91E-04,4.291,0.6838,923.4
WATER,145,1.90E-04,4.294,0.6837,922.5
WATER,146,1.89E-04,4.296,0.6836,921.6
WATER,147,1.87E-04,4.299,0.6835,920.7
WATER,148,1.86E-04,4.302,0.6834,919.8
WATER,149,1.84E-04,4.304,0.6832,918.9
WATER,150,1.83E-04,4.307,0.6831,917.9
WATER,151,1.82E-04,4.31,0.6829,917
WATER,152,1.80E-04,4.312,0.6828,916
WATER,153,1.79E-04,4.315,0.6826,915.1
WATER,154,1.78E-04,4.318,0.6824,914.1
WATER,155,1.76E-04,4.321,0.6822,913.2
WATER,156,1.75E-04,4.324,0.682,912.2
WATER,157,1.74E-04,4.327,0.6818,911.3
WATER,158,1.73E-04,4.33,0.6816,910.3
WATER,159,1.72E-04,4.333,0.6814,909.3
WATER,160,1.70E-04,4.336,0.6811,908.3
WATER,161,1.69E-04,4.339,0.6809,907.4
WATER,162,1.68E-04,4.342,0.6806,906.4
WATER,163,1.67E-04,4.345,0.6803,905.4
WATER,164,1.66E-04,4.348,0.6801,904.4
WATER,165,1.65E-04,4.351,0.6798,903.4
WATER,166,1.64E-04,4.355,0.6795,902.4
WATER,167,1.63E-04,4.358,0.6792,901.3
WATER,168,1.61E-04,4.361,0.6788,900.3
WATER,169,1.60E-04,4.365,0.6785,899.3
WATER,170,1.59E-04,4.368,0.6782,898.3
WATER,171,1.58E-04,4.371,0.6778,897.2
WATER,172,1.57E-04,4.375,0.6775,896.2
WATER,173,1.56E-04,4.378,0.6771,895.2
WATER,174,1.55E-04,4.382,0.6768,894.1
WATER,175,1.54E-04,4.385,0.6764,893.1
WATER,176,1.54E-04,4.389,0.676,892
